algorithm_type,bibtex_id,author_1,author_2,author_3,author_4,author_5,author6,author_7,author_8,affiliation_last_author,city_last_author,country_last_author,title,journal,year,link_to_pubmed,latitude,longitude
active contours,Solloway_1997,﻿Solloway S, Hutchinson CE, Waterton JC, Taylor CJ,,,,,"Department of Medical Biophysics, University of Manchester
",Manchester,UK,﻿The use of active shape models for making thickness measure- ments of articular cartilage from MR images,﻿Magn Reson Med 37(6):943–952,1997,https://www.ncbi.nlm.nih.gov/pubmed/9178247,53.479489,-2.245115
active contours,Vincent_2011,﻿Vincent G, Wolstenholme C, Scott I, Bowes M,,,,,Imorphics Ltd.,Manchester,UK,﻿Fully Automatic Segmentation of the Knee Joint using Active Appearance Models,﻿MICCAI 2010 Workshop Medical Image Analysis for the Clinic—A Grand Challenge (SKI0),2011,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4478858/,53.479489,-2.245115
active contours,Williams_2010,﻿Williams TG, Holmes AP, Waterton JC, Maciewicz RA, Hutchinson CE, Moots  RJ,Nash AFP, Taylor CJ,"Imaging Science and Biomedical Engineering, School of
Cancer and Enabling Sciences, The University of Manchester",Manchester,UK,﻿Anatomically corresponded regional analysis of cartilage in asymptomatic and osteoarthritic knees by statistical shape modelling of the bone,"﻿IEEE transactions on medical imaging, vol. 29, pp. 1541-1559",2010,https://www.ncbi.nlm.nih.gov/pubmed/20378463,53.479489,-2.245115
active contours,Amberg_2010,Amberg,Luthi M,Vetter T,,,,,,"Computer Science Department, University of Basel",Basel,Switzerland,Fully Automated Segmentation of the Knee using Local Deformation-Model Fitting,NaN,2010,NaN,47.558108,7.587826
active contours,CarballidoGamio_2008,Carballido-Gamio J, Bauer J, Stahl R, Lee KY, Krause S, Link T, Majumdar S,,"Department of Radiology and
Biomedical Imaging, UC San Francisco",San Francisco,USA,Inter-subject comparison of MRI knee cartilage thickness,﻿Medical Image Analysis,2008,https://www.ncbi.nlm.nih.gov/pubmed/17923429,37.779026,-122.419906
atlas-based,TamezPena_2012,﻿Tamez-Pena J, Gonzalez J, Farber J,Gonzales PC, Schreyer E, Schreyer E, Totterman S,,"Qmetrics Technology, LLC",Rochester,USA,"Unsupervised Segmentation and Quantification
of Anatomical Knee Features: Data From the
Osteoarthritis Initiative",IEEE Transactions on biomedical engineering,2012,https://www.ncbi.nlm.nih.gov/pubmed/22318477,43.157285,-77.615214
atlas-based,Shan_2014,﻿Shan L, Zach C, Charles C, Niethammer M,,,,,"Department of Computer Science, University of North Carolina",Chapel Hill,USA,﻿Automatic atlas-based three-label cartilage segmentation from MR knee images,﻿Med Image Anal 18(7):1233–1246,2014,https://www.ncbi.nlm.nih.gov/pubmed/25128683,35.913154,-79.05578
atlas-based,Pedoia_2015,﻿Pedoia V, Li X, Su F, Calixto N, Majumdar S,,,,"Department of Radiology and
Biomedical Imaging, UC San Francisco",San Francisco,USA,﻿Fully automatic analysis of the knee articular cartilage T1ρ relaxation time using voxel-based relaxometry,J Magn Reson Imaging Apr;43(4):970-80.,2015,https://www.ncbi.nlm.nih.gov/pubmed/26443990,37.779026,-122.419906
graph-based,Ozturk_2016,Öztürk ﻿CN, Albayrak S,,,,,,,"Yıldız Technical University, Computer Engineering Department",Istanbul,Turkey,﻿Automatic segmentation of cartilage in high-field magnetic resonance images of the knee joint with an improved voxel-classification-driven region-growing algorithm using vicinity-correlated subsampling,"﻿Computers in biology and medicine, vol. 72, pp. 90-107",2016,NaN,41.009633,28.965165
graph-based,WangP_2016,Wang P,  He X, Li Y, Zhu X, Chen W, Qiu M,,,"Department of Medical Imaging, College of Biomedical Engineering, Third Military Medical University",Chongqing,China,﻿Automatic Knee Cartilage Segmentation Using Multi-Feature Support Vector Machine and Elastic Region Growing for Magnetic Resonance Images,"﻿Journal of Medical Imaging and Health Informatics, vol. 6, pp. 948-956",2016,NaN,29.558571,106.549282
